system:index,classification,fireBinary,.geo
191_0,0.12185588,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.11827438023018,20.17731496889481]}"
192_0,0.3436285,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.39620398057306,17.770728322738613]}"
193_0,0.4076043,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.8647743813335,19.390390780006108]}"
194_0,0.08613978,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.61988448631882,18.746298721292412]}"
195_0,0.33722618,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.24511192406601,19.304152512730635]}"
196_0,0.30336377,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.92962817056508,18.134546012807018]}"
197_0,0.77251357,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.37716427083157,18.107596554283433]}"
198_0,0.22170249,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.77314622235332,18.765163342258923]}"
199_0,0.50977045,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.98083214175989,19.476629047281584]}"
200_0,0.10639594,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.30170578696554,18.474109190204196]}"
201_0,0.66530776,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.05933574902824,18.007883557746165]}"
202_0,0.50327426,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.52808123856366,18.2073095508207]}"
203_0,0.5667662,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.20216787920324,18.722044208621185]}"
204_0,0.21972966,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.26110651040518,19.878175979283007]}"
205_0,0.44839323,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.79757582379952,18.840621826124963]}"
206_0,0.24117295,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.23433214065658,18.948419660219304]}"
207_0,0.2746399,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.2585866533278,17.312587527837657]}"
208_0,0.43938684,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.26128159918017,19.476629047281584]}"
209_0,0.0798536,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.09419495633392,18.678925074983447]}"
210_0,0.6107434,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.66856860043625,18.22886911763957]}"
211_0,0.82440346,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.99196210271927,18.40673554389523]}"
212_0,0.6508603,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.44705777421792,19.959024354853767]}"
213_0,0.08438221,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.91902347593062,18.57651713259382]}"
214_0,0.2508448,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.24511192406601,17.388046011703693]}"
215_0,0.16450518,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.34195488597594,17.953984640698994]}"
216_0,0.7300307,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.59275993902025,20.128805943552354]}"
217_0,0.0556145,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.04299098513911,15.8007229046645]}"
218_0,0.16947928,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.52269134685893,18.253123630310796]}"
219_0,0.25444314,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.05377076854855,18.40673554389523]}"
220_0,0.38498032,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.06203069488059,18.271988251277303]}"
221_0,0.12156749,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.2183375543174,17.803067672966915]}"
222_0,0.7703695,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.94075813152446,18.533397998956083]}"
223_0,0.03287359,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.40680867520751,19.040047819199494]}"
224_0,0.42527482,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.56850542634903,18.29624276394853]}"
