system:index,classification,fireBinary,year,.geo
1_00000000000000000270,0.20750388818566515,0,2017.0,"{""type"":""Point"",""coordinates"":[100.0889421137367,20.283509821803023]}"
1_0000000000000000027c,0.2483863266947718,0,2017.0,"{""type"":""Point"",""coordinates"":[99.8329228267531,19.625944025855574]}"
1_0000000000000000029f,0.3135287271469576,0,2017.0,"{""type"":""Point"",""coordinates"":[100.02965390613008,18.987240227364204]}"
1_0000000000000000039e,0.7894116407614284,1,2017.0,"{""type"":""Point"",""coordinates"":[99.31279544347497,16.96603227916141]}"
1_0000000000000000045c,0.5440298070232894,1,2017.0,"{""type"":""Point"",""coordinates"":[99.56612143342228,18.22726671662331]}"
1_0000000000000000027f,0.720068358773104,0,2017.0,"{""type"":""Point"",""coordinates"":[100.90551053504792,19.11929204596095]}"
1_00000000000000000342,0.1364245430302872,0,2017.0,"{""type"":""Point"",""coordinates"":[99.16457492445842,19.846928155862244]}"
1_000000000000000003a0,0.8670003870645988,1,2017.0,"{""type"":""Point"",""coordinates"":[100.86778208103472,18.2596041174629]}"
1_00000000000000000367,0.25401764190534704,0,2017.0,"{""type"":""Point"",""coordinates"":[99.5930722401893,17.89039946843969]}"
1_0000000000000000028a,0.24731299466522652,0,2017.0,"{""type"":""Point"",""coordinates"":[100.05660025379606,17.987416130059508]}"
1_00000000000000000396,0.7628723744814557,1,2017.0,"{""type"":""Point"",""coordinates"":[99.21308548481886,17.095390800721876]}"
1_000000000000000003eb,0.9482870388955241,1,2017.0,"{""type"":""Point"",""coordinates"":[98.73877536486488,17.696361686098992]}"
1_00000000000000000358,0.319615580485348,0,2017.0,"{""type"":""Point"",""coordinates"":[99.87065128076631,20.199968563566713]}"
1_0000000000000000037f,0.336316667078418,0,2017.0,"{""type"":""Point"",""coordinates"":[98.8816048307078,19.011497737094945]}"
1_000000000000000003cf,0.8066624974713081,1,2017.0,"{""type"":""Point"",""coordinates"":[99.35591495066178,16.987592032754822]}"
1_000000000000000003f1,0.8686254355676742,1,2017.0,"{""type"":""Point"",""coordinates"":[99.17535703080566,17.925430166315557]}"
1_0000000000000000044d,0.8366809316324894,1,2017.0,"{""type"":""Point"",""coordinates"":[99.20769443164525,18.450948602767316]}"
1_000000000000000003f9,0.6495875592199458,1,2017.0,"{""type"":""Point"",""coordinates"":[98.07312075960648,19.12198980209828]}"
1_000000000000000003c6,0.5944052966840759,1,2017.0,"{""type"":""Point"",""coordinates"":[99.7736346191465,17.88231511822979]}"
1_00000000000000000327,0.4891803550547541,0,2017.0,"{""type"":""Point"",""coordinates"":[100.85969773082482,19.51814525788852]}"
1_000000000000000002b8,0.5826476049445591,0,2017.0,"{""type"":""Point"",""coordinates"":[99.70895535836625,20.186493160183204]}"
1_000000000000000004a6,0.446922834632379,1,2017.0,"{""type"":""Point"",""coordinates"":[99.26698263925186,17.545443410945115]}"
1_000000000000000002fb,0.5213205187550844,0,2017.0,"{""type"":""Point"",""coordinates"":[99.74937710941576,20.032881587993042]}"
1_00000000000000000283,0.4996707005258101,0,2017.0,"{""type"":""Point"",""coordinates"":[98.67409610408464,18.87674816236086]}"
1_00000000000000000302,0.07902355780084033,0,2017.0,"{""type"":""Point"",""coordinates"":[98.72799325851766,19.493892207258828]}"
1_0000000000000000030d,0.22717542491601325,0,2017.0,"{""type"":""Point"",""coordinates"":[98.09737826933723,19.084256888984026]}"
1_0000000000000000030f,0.7113316678261071,0,2017.0,"{""type"":""Point"",""coordinates"":[99.78710556342897,18.488677056780524]}"
1_00000000000000000325,0.20199540222112145,0,2017.0,"{""type"":""Point"",""coordinates"":[100.60367398474017,18.812068901580627]}"
1_0000000000000000038a,0.6497279012717849,1,2017.0,"{""type"":""Point"",""coordinates"":[97.81171041944928,18.022451287036436]}"
1_000000000000000003d2,0.727773350397222,1,2017.0,"{""type"":""Point"",""coordinates"":[98.00574820178998,18.18684050647277]}"
1_000000000000000003e9,0.61198731773246,1,2017.0,"{""type"":""Point"",""coordinates"":[97.71469375782947,17.833804557869353]}"
1_00000000000000000285,0.4663365626634509,0,2017.0,"{""type"":""Point"",""coordinates"":[97.8305768760064,18.989937983501534]}"
1_000000000000000002a6,0.5237588384750009,0,2017.0,"{""type"":""Point"",""coordinates"":[98.17283517736364,17.715228142656123]}"
1_0000000000000000032d,0.6084670275279315,0,2017.0,"{""type"":""Point"",""coordinates"":[99.79519437273991,18.733914237416887]}"
1_000000000000000002de,0.6266121751986644,0,2017.0,"{""type"":""Point"",""coordinates"":[97.81440817558662,18.898307915954273]}"
1_000000000000000003d4,0.8693152506306087,1,2017.0,"{""type"":""Point"",""coordinates"":[97.71738705486572,18.515623404446497]}"
1_00000000000000000477,0.3338442663552578,1,2017.0,"{""type"":""Point"",""coordinates"":[99.06486050670127,19.396871086537956]}"
1_0000000000000000029a,0.09421854522829104,0,2017.0,"{""type"":""Point"",""coordinates"":[99.13223752361884,20.11372954919307]}"
1_000000000000000003d7,0.2983079741365866,1,2017.0,"{""type"":""Point"",""coordinates"":[98.02730795538339,19.003408927783994]}"
1_00000000000000000406,0.5319690581006816,1,2017.0,"{""type"":""Point"",""coordinates"":[98.36417520356702,18.887525809607045]}"
1_0000000000000000031e,0.592163639217956,0,2017.0,"{""type"":""Point"",""coordinates"":[98.28602053940327,19.442688349862106]}"
1_00000000000000000290,0.5055135173510997,0,2017.0,"{""type"":""Point"",""coordinates"":[99.08642026029469,19.593602165914934]}"
1_000000000000000003a4,0.7231689322208511,1,2017.0,"{""type"":""Point"",""coordinates"":[98.7926725192979,17.130421498597748]}"
1_0000000000000000026d,0.18038134657388755,0,2017.0,"{""type"":""Point"",""coordinates"":[98.46658291836043,17.758347649842946]}"
1_00000000000000000436,0.8512219418895403,1,2017.0,"{""type"":""Point"",""coordinates"":[99.55534378617611,18.542574211213523]}"
1_00000000000000000443,0.82552746205961,1,2017.0,"{""type"":""Point"",""coordinates"":[99.6092409406091,18.795900201160837]}"
1_0000000000000000045d,0.6782967754437644,1,2017.0,"{""type"":""Point"",""coordinates"":[97.87908743636685,18.75817174714763]}"
1_000000000000000002b2,0.7053944352924925,0,2017.0,"{""type"":""Point"",""coordinates"":[99.91646408498941,17.982025076885893]}"
1_00000000000000000308,0.39442652146190993,0,2017.0,"{""type"":""Point"",""coordinates"":[99.18882797508813,18.39165593605965]}"
1_00000000000000000373,0.503215420294893,0,2017.0,"{""type"":""Point"",""coordinates"":[98.44232986773075,17.227442619318623]}"
1_000000000000000003ac,0.8705196399623883,1,2017.0,"{""type"":""Point"",""coordinates"":[98.44772092090436,19.472332453665416]}"
1_000000000000000003b9,0.6332703596599497,1,2017.0,"{""type"":""Point"",""coordinates"":[98.05695205918668,18.539880914177242]}"
1_0000000000000000040b,0.8570630705134709,1,2017.0,"{""type"":""Point"",""coordinates"":[99.61732529081901,18.62342217241355]}"
1_000000000000000004ae,0.5885363840561947,1,2017.0,"{""type"":""Point"",""coordinates"":[99.50413992877938,18.680017082983884]}"
